Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Chef de projet en linguistique informatique / Data Scientist,France entière,immédiate,"Concevoir et gérer un projet
Faire preuve de persévérance
Travailler en équipe
Apprentissage automatique (machine learning)
Python","Interimaire

|
Help'emploi (Grenoble, Isère, France)","Apprentissage automatique (machine learning)
(Débutant)
HTML
(Intermédiaire)
Java
(Débutant)
Logiciel tableur
(Intermédiaire)
PHP
(Débutant)
Python
(Intermédiaire)
XML
(Intermédiaire)"
Data Scientist/ Epidémiologiste,France entière,immédiate,"Gérer son stress
Travailler en équipe
Anglais
Français
B - Véhicule léger","Data science en santé (Health data science)

|
Bac+5 et plus ou équivalents","Analyse statistique
(Avancé)
Biologie
Logiciel de gestion documentaire"
DATA ANALYST,France entière,immédiate,,"Data Engineer, Stagiaire

|
VISEO (Boulogne-Billancourt, France)","Big data Analytics
(Avancé)
Cloud computing
(Intermédiaire)
Exploration de données (data mining)
(Avancé)
Finance
(Avancé)
Gestion de version GIT
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Technologies HADOOP
(Intermédiaire)"
AI Data ingénieur,France entière,immédiate,,"ingénieur informatique

|
Bac+5 et plus ou équivalents",Concevoir une application web
Docteur en chimie reconverti en ingénieur IVVQ ayant de l'appétence pour la biologie et la data science.,France entière,immédiate,"Analyser, exploiter, structurer des données
Biologie
Conduire des travaux d'études et de recherche
Conseiller des chercheurs, institutions, entreprises sur des questions scientifiques
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données",DEV IVVQ,"Analyse statistique
(Intermédiaire)
Biologie
(Intermédiaire)
Chimie
(Avancé)
Écologie
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Sciences médicales
(Intermédiaire)"
"Data Scientist/researcher, 8 ans d'expérience en modélisation mathématique/Statistique, Apprentissage automatique, Python3, R, Matlab...",France entière,immédiate,"Concevoir des modèles théoriques (calcul, simulation, modélisation)
Conseiller des chercheurs, institutions, entreprises sur des questions scientifiques
Anglais
Français","doctorat en automatisme,genie informatique;trt signal & imag

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Analyse statistique
Informatique
Langages de programmation informatique
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Mathématiques
Modélisation et simulation
Sciences de l'information et de la communication"
Data Engineer / Data Analyst Junior,France entière,immédiate,,Leader d'Ambiance Fédération athlétisme,
Data Engineer,France entière,immédiate,"Analyser, exploiter, structurer des données
Anglais technique
Gérer et maitriser des bases de données (SQL/NoSQL)
Python
Redshift","Stagiaire Data Engineer

|
Showroomprivé (Saint-Denis)","Anglais technique
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Cloud computing
DataMart (Magasin de données)
Gestion de version GIT
Langages de programmation informatique
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
MySQL
Outils de data management
Pratique du hippisme
Python
Scala
Script Shell
SharePoint
SQL
Sybase
Système d'exploitation Linux
Technologies HADOOP
Technologies SPARK (Framework)
Web dynamique"
Chef de projet - Data Analyst,France entière,immédiate,Concevoir et gérer un projet,"Master 2 en Intelligence Artificielle et management

|
Bac+5 et plus ou équivalents",Concevoir et gérer un projet
Data Scientist / Engineer /Ingénieur en Machine Learning/ Développeur Full-Stack java angular,France entière,immédiate,,"Applied Master of Science in Data Science & AI

|
Bac+5 et plus ou équivalents",
Data Scientist,France entière,immédiate,,"Consultant Data Analyst

|
Orabank",
Ingénieur en Intelligence Artificielle et Data,France entière,immédiate,,"Data Analyst

|
Renault Group (Île-de-France)","Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Intégrer des outils IA/Data Science
(Avancé)
Réaliser un modèle de prévision"
Data Scientist - Analyste quantitatif confirmé,France entière,immédiate,"Faire preuve d'autonomie
Focus résultat
Gestion de projet
Programmation informatique
Réaliser un modèle de prévision","DATA SCIENTIST

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Caractéristiques des produits financiers
(Avancé)
Comptabilité générale
Comptabilité publique
Conception et analyse d'enquête
Données d'activité de la structure, du service
(Avancé)
Économétrie
(Avancé)
Fiscalité
(Débutant)
Gestion commerciale, relation clients
(Avancé)
Insights marketing
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de statistiques
(Avancé)
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Intermédiaire)
Logiciel tableur
(Avancé)
Mathématiques financières
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)"
Data Scientist / Analyst à la recherche d'une opportunité afin d'appliquer mes connaissances acquises pendant mon parcours professionnel.,France entière,immédiate,,"Data Scientist

|
IFSTTAR (Champs-sur-marne)","Apprentissage automatique (machine learning)
(Avancé)
Microsoft Excel
(Avancé)
Python
(Avancé)
SQL
(Intermédiaire)"
Data Analyst / Scientist : Passionné par l'analyse de données et la modélisation statistique pour des décisions stratégiques,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Gestion de projet
Outils et technologies : Maitrise de R (y compris R shiny)
Python
Visualisation (Dataviz)","Chef de Projet Data Analyst

|
ITSAP - Institut de l'abeille (INRAE Avignon) (Avignon)","Application web
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Communication interculturelle
(Avancé)
GitHub
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de traitement de texte
(Avancé)
Microsoft Excel
(Intermédiaire)
Progiciel de gestion SAS Statistiques
(Débutant)
Python
(Avancé)
SQL
(Intermédiaire)"
"Jeune diplômé en Data Analyst, je suis à la recherche d'un CDI afin de mettre à profit mes compétences en extraction, analyse et interprétation de données pour aider les entreprises à optimiser leurs",France entière,immédiate,,"Licence Mathématiques 

|
Bac+3, Bac+4 ou équivalents","Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Définir et faire évoluer des procédés de traitement de l'information
Réaliser un modèle de prévision"
Data Analyst,France entière,immédiate,,"Data Analyst - Business Analyst

|
Société Générale (Fontenay-sous-bois)","Algorithmique
Analyse statistique
JIRA
(Avancé)
Langages de programmation informatique
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Python
(Débutant)
SQL
(Avancé)
Technologies HADOOP
(Intermédiaire)"
Data Scientist,France entière,immédiate,"Méthode AGILE
Développer un logiciel, un système d'informations, une application
Python
Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)
SQL","Stage de develppeur IA

|
Da Viking Code (Dijon, Côte d'Or, France)","Addictologie
(Avancé)
Analyse des risques
(Avancé)
Audit interne
(Avancé)
Caractéristiques socio-culturelles des publics
(Avancé)
Ergonomie
(Avancé)
Interprétation de production écrite (dessin, conte, ...)
(Intermédiaire)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Neurophysiologie
(Avancé)
Pathologies du vieillissement
(Avancé)
Python
(Avancé)
Sociologie des organisations
(Intermédiaire)
SQL
(Avancé)
Théories psychanalytiques
(Intermédiaire)
Thérapies comportementales et cognitives
(Avancé)"
A la recherche d'un emploi dans le domaine de la data,France entière,immédiate,,"Diplôme d'ingénieur

|
Bac+5 et plus ou équivalents","Apprentissage automatique (machine learning)
(Avancé)
Gestion de version GIT
(Avancé)
Java
(Intermédiaire)
MySQL
(Avancé)
Python
(Avancé)"
Ingénieur Data Scientist,France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de persévérance
Animer, coordonner une équipe
Définir et faire évoluer des procédés de traitement de l'information
Réaliser un modèle de prévision","Ingénierie en Intelligence artificielle

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Adapter les outils de traitement statistique de données
(Avancé)
Analyser / traiter l'information à des fins d'anticipation
(Avancé)
Définir et faire évoluer des procédés de traitement de l'information
(Avancé)
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
(Avancé)
Lire et interpréter des données et documents techniques au besoin en anglais
(Avancé)
Mener et exploiter une analyse stratégique
(Intermédiaire)
Mobiliser des données massives pour éclairer les prises de décisions
(Intermédiaire)
Réaliser un modèle de prévision
(Avancé)"
Data Scientist Junior,France entière,immédiate,"Analyser, exploiter, structurer des données
Réaliser et vérifier des calculs de mathématiques généraux ou appliqués
Relever, contrôler, ajuster des mesures et dosages
Conduire des travaux d'études et de recherche
Anglais",Formation de reconversion en développement informatique Csharp et Cobol,"Algorithmique
Biologie
(Intermédiaire)
C#
(Débutant)
Gestion administrative
HTML
(Intermédiaire)
Langages de programmation informatique
(Débutant)
Mathématiques
(Intermédiaire)
Progiciels de gestion intégrée d'entreprise (ERP)
(Intermédiaire)
Programmation logicielle
(Débutant)
SQL
(Intermédiaire)"
Data analyst avec Python - Power BI,France entière,immédiate,"Analyser, exploiter, structurer des données
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données","data analyst

|
Bac+3, Bac+4 ou équivalents","Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques
(Avancé)
Enseigner, transmettre des connaissances, développer des compétences
(Avancé)
Évaluer des acquis d'apprentissage, de formation ou d'expérience
(Avancé)"
Data Analyst (3 ans d'expérience) - Motivé et prêt à contribuer au développement de votre structure,France entière,immédiate,"Élaborer des tableaux de bord
Réaliser un audit
SQL
Analyse financière","Bachelor in Artificial Intelligence & Business

|
Bac+3, Bac+4 ou équivalents","Analyse d'indicateurs financiers
(Avancé)
Analyse financière
(Avancé)
Audit comptable
(Avancé)
Audit comptable et financier
(Avancé)
Cartographie des risques
(Intermédiaire)
Droit des sociétés
(Intermédiaire)
Droit du travail
(Débutant)
Écriture comptable
(Avancé)
Indicateurs de couverture de risques
(Débutant)
Indicateurs de suivi d'activité
Méthodes d'enquête
(Intermédiaire)
Méthodes et procédures de contrôle comptable
(Intermédiaire)
Normes rédactionnelles
(Débutant)
Procédures de contrôle comptable
(Intermédiaire)
Programme de mission d'audit
(Intermédiaire)
Régies d'avances et de recettes
Révision légale des comptes
(Débutant)"
Junior Data analyst et Contrôl de Gestion,France entière,immédiate,"Analyser, exploiter, structurer des données
Analyser les insights et les usages des consommateurs
Business Intelligence (BI) / Informatique décisionnelle
Modélisation et simulation
Présenter et diffuser les résultats des études réalisées","Mastère Spécialisé Artificial Intelligence & Business Transformation

|
Bac+5 et plus ou équivalents","Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Microsoft Excel
(Avancé)
Modélisation et simulation
Modélisation statistique
Python
(Intermédiaire)"
Data Scientist - Ingénieur Machine Learning,France entière,immédiate,"Machine learning
Python","Data Scientist

|
Bac+5 et plus ou équivalents","Algorithmique
(Intermédiaire)
C/C++
(Intermédiaire)
C#
(Débutant)
Informatique scientifique et technique
(Avancé)
Lisp
(Intermédiaire)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
PHP
(Débutant)
Python
(Avancé)
Systèmes d'exploitation informatique
(Avancé)"
Recherche un poste de Data Scientist / Data analyst ou professeur de mathématique,France entière,immédiate,"Présenter et diffuser les résultats des études réalisées
Algorithmique
Analyse statistique
Modélisation statistique
Réaliser un modèle de prévision",Ingénierie logicielle,"Algorithmique
(Intermédiaire)
Analyse statistique
(Intermédiaire)
Big data Analytics
(Intermédiaire)
Exploration de données (data mining)
(Intermédiaire)
Logiciel de statistiques
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation statistique
(Intermédiaire)
Python
(Intermédiaire)"
Data Scientist,France entière,immédiate,"Modélisation informatique
Apprentissage automatique (machine learning)
Intelligence artificielle
Algorithmique
Python","Ingénieur IA

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Apprentissage automatique (machine learning)
(Intermédiaire)
CSS
(Avancé)
Finance
(Intermédiaire)
Gestion de configuration
HTML
(Avancé)
Intelligence artificielle
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Programmation logicielle
(Intermédiaire)
Python
(Avancé)
SQL
(Intermédiaire)"
Ingénieure Data & Développement Logiciel,France entière,immédiate,,"Ingénieure Optimisation et Documentation des Analyses de Données

|
EDF ENR","Apache
(Avancé)
CSS
(Avancé)
Docker
(Intermédiaire)
Framework Angular
(Avancé)
GitHub
(Avancé)
GitLab
(Avancé)
Javascript
(Avancé)
Microsoft Access
(Avancé)
Microsoft Excel
(Avancé)
Microsoft PowerPoint
(Avancé)
MySQL
(Avancé)
Visual Basic for Applications (VBA)
(Avancé)"
Data Analyst Power BI et AWS Cloud,France entière,immédiate,,"Analyste de données AWS CLOUD

|
Gara Store (Dakar(Full remote))","Gestion de version GIT
(Avancé)
GitLab
(Intermédiaire)
Google Analytics
(Avancé)
Microsoft Excel
(Avancé)
Microsoft SQL Server
(Intermédiaire)
Python
(Avancé)
SQL
(Avancé)
SQL Server Reporting services
(Intermédiaire)
Technologies SPARK (Framework)
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Modélisation statistique
Animer, coordonner une équipe
Définir et faire évoluer des procédés de traitement de l'information
Langages de programmation informatique
Technologie de l'internet","Cloud Architect

|
Bac+5 et plus ou équivalents","Analyse statistique
(Avancé)
Gestion budgétaire
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de statistiques
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Modélisation statistique
(Intermédiaire)
Technologie de l'internet
(Avancé)"
data scientist,France entière,immédiate,,"ingénieur IA

|
Groupe COVEA (Niort, France)","Algorithmique
(Avancé)
Cloud computing
(Intermédiaire)
Intelligence artificielle
(Intermédiaire)
Java
(Débutant)
Python
(Avancé)"
Data analyst / Data scientist,France entière,immédiate,"Analyser, exploiter, structurer des données
Analyse statistique
Économétrie
Modélisation et simulation
Modélisation statistique","M2 économétrie appliquée

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse statistique
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Développement économique
Économétrie
Gestion budgétaire
Insights marketing
Langages de programmation informatique
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Sciences économiques et sociales"
"A la recherche d'un emploi dans la veille stratégique (intelligence économique, data business)",France entière,immédiate,"Faire preuve de réactivité
Travailler en équipe","Administrateur de vente/ Assistant commercial

|
Lou Prunel (Bias, 47)","Analyse statistique
(Intermédiaire)
Conception et analyse d'enquête
(Intermédiaire)
Économétrie
(Débutant)
Intelligence économique
(Avancé)
Logiciel de statistiques
(Intermédiaire)"
Gestion data spatiale,France entière,immédiate,"Faire preuve de créativité, d'inventivité
Faire preuve de persévérance
Apporter un appui à des partenaires institutionnels
Analyser, exploiter, structurer des données
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données","Doctorat en urbanisme, mention amenagement

|
Bac+5 et plus ou équivalents","Analyser, exploiter, structurer des données
(Avancé)
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
(Avancé)
Identifier et interpréter les données et caractéristiques géographiques et analyser les résultats
(Intermédiaire)
Sélectionner, traiter et réaliser l'analyse spatiale de données géographiques
(Intermédiaire)"
Data Analyst,France entière,immédiate,"Python
Analyser, exploiter, structurer des données
GitHub
Power BI
SQL","Data Analyst

|
Mosaik (Toulouse)","Analyse statistique
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
GitHub
(Avancé)
Langages de programmation informatique
(Avancé)
Microsoft Excel
(Avancé)
Microsoft PowerPoint
(Avancé)
Python
(Intermédiaire)
SQL
(Avancé)"
"recherche un contrat d'alternance dans le domaine de la Data analyse ou analyse économique. Disponibilite, septembre  2024",France entière,immédiate,"Analyser les données: Utiliser les techniques d'analyses pou
Économie
Établir des prévisions, des évaluations, des recommandations, des perspectives
Partager des données: Grâce à l'outil de visualisation
Python","MASTER ECONOMIE APPLIQUEE

|
Bac+3, Bac+4 ou équivalentsCette Formation contient une pièce jointe","Économie
(Avancé)
Exploration de données (data mining)
(Avancé)
Littérature française
(Avancé)
Outils de data management
(Avancé)
PL/SQL
(Avancé)
Pratique de la natation
(Avancé)
Pratique du football
(Avancé)
Progiciel de gestion SAS Statistiques
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Système de Gestion de Bases de Données (SGBD)
(Avancé)"
"Débutant dans la data, je suis à la recherche d'un poste de data analyste, chargée d'étude.",France entière,immédiate,"Faire preuve de curiosité
Analyse statistique
Réaliser des études spécifiques
Réaliser une étude
Réaliser une étude marketing","Chef de Secteur Sud Ouest

|
IMC TOY'S FRANCE (Sud Ouest de la France)","Analyser et identifier des tendances, des préférences de consommation
(Avancé)
Analyser les insights et les usages des consommateurs
(Avancé)
Analyser un marché
(Avancé)
Concevoir des modèles de détection des insights consommateurs
(Intermédiaire)
Concevoir des outils d'aide à la vente
(Avancé)
Concevoir la campagne promotionnelle d'un produit
(Intermédiaire)
Concevoir un argumentaire produit
(Avancé)
Construire un argumentaire
(Avancé)
Définir une gamme de produits
(Avancé)
Développer et fidéliser la relation client
(Avancé)
Développer un portefeuille clients et prospects
(Avancé)
Élaborer un plan marketing, une stratégie de marque et de communication
(Intermédiaire)
Évaluer l'impact d'une stratégie marketing
(Intermédiaire)
Mettre en oeuvre des actions commerciales et promotionnelles
(Avancé)
Organiser, aménager un espace de vente
(Avancé)
Participer aux phases créatives d'un projet marketing
(Intermédiaire)
Réaliser une étude marketing
(Intermédiaire)
Réaliser une veille de marché, une veille concurrentielle
(Avancé)"
Data Scientist - spécialité Ingénieur IA,France entière,immédiate,"Apprentissage automatique (machine learning)
Deep learning
Python
Comprendre, interpréter des données et documents techniques","Développeuse Logiciel

|
THALES SIX GTS (Vélizy Villacoublay, 78140, France)","Algorithmique
Analyse statistique
Anglais technique
Application web
Apprentissage automatique (machine learning)
Big data Analytics
(Intermédiaire)
C#
CSS
HTML
Informatique
(Intermédiaire)
Informatique scientifique et technique
J2EE
J2ME
Java
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciel de traitement de texte
(Avancé)
Mathématiques
(Avancé)
Modélisation et simulation
(Intermédiaire)
Modélisation statistique
Python
(Intermédiaire)
SQL
XML"
CDI ou CDD en  Data Analyst / Consultant Data ou IT/ Chef de projet ou Data Scientist,France entière,immédiate,,"Chef de Projet et IA spécialité Data Analyste

|
Bac+5 et plus ou équivalents","Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Google Analytics
(Avancé)
Microsoft Excel
(Avancé)
Python
(Avancé)
SQL
(Avancé)"
"Data analyst, Data scientist, Data manager, Statisticien, Chargé d'études",France entière,immédiate,,"Chargé d'études

|
ipsos (gentilly)","Adapter les outils de traitement statistique de données
(Intermédiaire)
Analyser, exploiter, structurer des données
(Intermédiaire)
Définir et faire évoluer des procédés de traitement de l'information"
Data Analyste,France entière,immédiate,"Analyser, exploiter, structurer des données
analyse statistique
anglais
informatique
powerpoint","Analyst Big-Data

|
Bac+3, Bac+4 ou équivalents","Culture générale / Domaine culturel
(Avancé)
Environnement / nature
Linguistique
(Avancé)
Logiciel de traitement de texte
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Sciences de l'univers
(Avancé)
Sciences et techniques de l'ingénieur
Sciences exactes
(Avancé)
Sciences physico-chimiques et expérimentales
(Intermédiaire)"
Data scientist/Analsyt,France entière,immédiate,"Apprentissage automatique (machine learning)
Deep Learning
Progiciel de gestion SAS Statistiques
Python
SQL","DATA ANALYST

|
Bifora data consulting (Bordeaux)","Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Cloud computing
(Avancé)
Économétrie
(Avancé)
Exploration de données (data mining)
(Avancé)
Intelligence artificielle
(Avancé)
Langages de programmation informatique
(Avancé)
Maîtrise des bases de données et gestion de bases de données
(Avancé)
Microsoft Excel
(Avancé)
Probabilités
(Avancé)
Progiciel de gestion SAS Statistiques
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Statistiques
(Avancé)
Technologies HADOOP
(Avancé)
Technologies SPARK (Framework)
(Avancé)"
Data Scientist || Data Analyst || Data engineer,France entière,immédiate,"Analyser, exploiter, structurer des données
Travailler en équipe
Analyse statistique
Modélisation économique
Réaliser un modèle de prévision","Data Analyst

|
Carrefour (Massy)","Algorithmique
(Intermédiaire)
Analyse statistique
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Conception et analyse d'enquête
(Intermédiaire)
Développement économique
(Intermédiaire)
Économétrie
(Avancé)
Logiciel de statistiques
(Avancé)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Sciences économiques et sociales
(Intermédiaire)"
Directeur Data & Analytics,France entière,immédiate,"Analyse des risques
Conseiller, accompagner une personne
Élaborer une stratégie de développement d'activité
Gestion de l'information stratégique
Prospecter de nouveaux clients, de nouveaux marchés","Intelligence artificielle, Data science, Machine learning, Data quality

|
Conseiller indépendant (Paris, Nantes)Cette Expérience contient une pièce jointe","Analyse des risques
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
Communication digitale
E-Business
Gestion administrative
Gestion budgétaire
Gestion de l'information stratégique
(Avancé)
Intelligence économique
Knowledge Management
Logiciel de traitement de texte
(Avancé)
Logiciel tableur
(Avancé)
Stratégies de communication externe"
"BIG DATA ENGINEER en devenir, prêt à relever de de nouveaux challenges. J'explore des opportunités enrichissantes sous forme d'un stage de fin d'études ou d'un CDI, disponible à partir de juillet 2024",France entière,immédiate,,Mastère spécialisé big data : gestion et analyse de données massives,"Algorithmique
(Avancé)
Anglais technique
(Intermédiaire)
Apache
(Intermédiaire)
Apprentissage automatique (machine learning)
(Intermédiaire)
Big data Analytics
(Intermédiaire)
Cloud computing
Connaissance des solutions de manipulation des données ETL/LET
Docker
Exploration de données (data mining)
(Intermédiaire)
Gestion de configuration
(Avancé)
Gestion de version GIT
Informatique scientifique
(Intermédiaire)
Intelligence artificielle
(Intermédiaire)
Kubernetes
Langages de programmation informatique
(Intermédiaire)
Logiciel de gestion documentaire
(Intermédiaire)
Maîtrise d’un outil de gestion de flux (Kafka, Flink…)
Modélisation et simulation
(Intermédiaire)
MySQL
(Intermédiaire)
Outils de web analyse - web analytics
(Intermédiaire)
Progiciels de gestion intégrée d'entreprise (ERP)
(Intermédiaire)
Python
(Intermédiaire)
Script Shell
(Intermédiaire)
SQL
(Avancé)
Systèmes d'exploitation informatique
(Intermédiaire)
Technologies de l'accessibilité numérique
(Intermédiaire)
Technologies HADOOP
(Débutant)
Visual Basic
(Avancé)"
Data Scientist,France entière,immédiate,"Apprentissage automatique (machine learning)
Expert en sciences des données
Modélisation mathématique
Neural Networks and Deep Learning
Statistiques","Stagiaire R&D Data Scientist

|
MICHELIN (Ladoux, France)","Algèbre linéaire
(Avancé)
Algorithmique
(Avancé)
Apprentissage automatique (machine learning)
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion de version GIT
(Avancé)
GitHub
(Avancé)
Java
(Intermédiaire)
Mathématiques
(Avancé)
Microsoft Excel
(Intermédiaire)
Microsoft Visual Studio
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Statistiques
(Avancé)"
Data analyst,France entière,immédiate,,"MASERATI parcours data analyst

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Présenter et diffuser les résultats des études réalisées
Rédiger de l'information"
Data analyste,France entière,immédiate,"Analyser, exploiter, structurer des données
Travailler en équipe
Méthodes d'enquête
Développer et piloter un réseau d'organisations partenaires
Gestion de projet","chargée des relations internationales

|
Fédération Artisans du Monde (Montreuil)","Concevoir des supports de communication audiovisuels
Concevoir des supports de communication visuelle
Créer, organiser ou coordonner un évènement
(Avancé)
Définir une ligne éditoriale
(Avancé)
Définir une stratégie de communication
Mettre en oeuvre des actions de communication
Présenter et expliciter les avancées scientifiques et les travaux de recherche
(Avancé)
Réaliser des actions de relation publique, de diffusion et de promotion de l'information
Rédiger des communiqués de presse
Rédiger le contenu d'un support de communication
Rédiger un discours"
"Nouvellement certifié Data Scientist , je suis actuellement en recherche d'un emploi dans une entreprise ou start-up qui cherche un passionné du Machine learning et de l'Intelligence artificielle.",France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de réactivité
Gérer son stress
S'adapter aux changements
Identifier les contraintes d'un projet","Data Scientist 
Cette Formation contient une pièce jointe","Conseiller des apprenants dans l'organisation de leur travail personnel
(Avancé)
Définir la progression pédagogique
(Avancé)
Enseigner, transmettre des connaissances, développer des compétences
(Avancé)
Renseigner des supports d'évaluation scolaire
(Avancé)"
Data engineer,France entière,immédiate,,"Master of enigneering

|
Bac+5 et plus ou équivalents","Python
(Avancé)
SQL
(Avancé)"
Data analyste / Data scientist / Dev IA (Alternance),France entière,immédiate,,SIMPLON,"Gestes et postures de manutention
(Avancé)
Gestion budgétaire
(Intermédiaire)
Gestion commerciale, relation clients
(Avancé)
Gestion de version GIT
(Intermédiaire)
Intelligence économique
(Intermédiaire)
Logiciel de gestion de stocks
(Intermédiaire)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Python
(Intermédiaire)
Système d'exploitation Windows
(Avancé)"
Data Scientist - Analyst - IA,France entière,immédiate,"Machine learning
MySQL
Python
R
Spark, SaprkR, Pyspark","Consultant

|
Ausy (Sophia-Antipolis Nice)","Algorithmique
Analyse statistique
(Avancé)
Apprentissage automatique (machine learning)
(Avancé)
Big data Analytics
(Avancé)
Économétrie
Gestion de version GIT
(Avancé)
Informatique
(Avancé)
Ingénierie de la formation
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de statistiques
(Avancé)
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Logiciel tableur
(Avancé)
Mathématiques
Microsoft SQL Server
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
Python
(Avancé)
Sciences économiques et sociales
Sciences et techniques de l'ingénieur
(Avancé)
Système d'exploitation Linux
Technologies HADOOP
(Intermédiaire)"
A la recherche d'un emploi dans la data,France entière,immédiate,"Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
Power BI
Microsoft SQL Server
Python
Transact SQL (T-SQL)","Master Bases de données et Intelligence artificielle 

|
Bac+5 et plus ou équivalents","Exploration de données (data mining)
(Intermédiaire)
Java
(Intermédiaire)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Intermédiaire)
Microsoft SQL Server
(Avancé)
PL/SQL
(Avancé)
Python
(Avancé)
Transact SQL (T-SQL)
(Avancé)"
Trouver une alternance dans pour valider un diplôme de niveau Bac + 5 en Data Engineering,France entière,immédiate,Anglais,"Marketing management e-commerce

|
Bac+3, Bac+4 ou équivalents","Concevoir la campagne promotionnelle d'un produit
Élaborer un plan marketing, une stratégie de marque et de communication
Mettre en oeuvre des actions commerciales et promotionnelles"
A la recherche d'un emploi dans la data,France entière,immédiate,,"Stage en Data Science

|
WORLDLINE (Blois)","Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Réaliser un modèle de prévision"
Data Analyst,France entière,immédiate,,"Data Analyst BI

|
Orange Business (Massy (IDF))","Apprentissage automatique (machine learning)
Business Intelligence (BI) / Informatique décisionnelle
Microsoft Excel
Python"
